blank,NoName,NoName
azocaos01,Óscar,Azocar
backebr01,Brandon,Backe
backmwa01,Wally,Backman
bacsimi02,Mike,Bacsik
badenbu01,Burke,Badenhop
baekch01,Cha-Seung,Baek
baergca01,Carlos,Baerga
baezbe01,Benito,Baez
baezda01,Danys,Báez
baezke01,Kevin,Baez
bagweje01,Jeff,Bagwell
bailean01,Andrew,Bailey
bailebi01,Bill,Bailey
bailebi02,Bill,Bailey
baileco01,Cory,Bailey
baileho02,Homer,Bailey
baileje01,Jeff,Bailey
bailema01,Mark,Bailey
bailero01,Roger,Bailey
bailesc01,Scott,Bailes
baineha01,Harold,Baines
bairdo01,Doug,Bair
baislje01,Jeff,Baisley
bajenje01,Jeff,Bajenaru
bakerdo01,Doug,Baker
bakerfr01,Home Run,Baker
bakerje01,Jesse,Baker
bakerje03,Jeff,Baker
bakerjo01,John,Baker
bakersc01,Scott,Baker
bakersc02,Scott,Baker
bakertr01,Tracy,Baker
bakopa01,Paul,Bako
balbost01,Steve,Balboni
baldero01,Rocco,Baldelli
baldwja01,James,Baldwin
baldwje01,Jeff,Baldwin
balejo01,John,Bale
balenmi01,Mike,Balenti
balenwl01,Wladimir,Balentien
balesco01,Collin,Balester
balfogr01,Grant,Balfour
ballaje01,Jeff,Ballard
balleja01,Jay,Baller
ballje01,Jeff,Ball
ballne01,Neal,Ball
banisje01,Jeff,Banister
bankhsc01,Scott,Bankhead
banksbr01,Brian,Banks
banksjo01,Josh,Banks
bankswe01,Wes,Bankston
bankswi01,Willie,Banks
bannibr01,Brian,Bannister
bannifl01,Floyd,Bannister
bantzbr01,Brandon,Bantz
baptitr01,Travis,Baptist
barajro01,Rod,Barajas
barbebr01,Bret,Barberie
barbebr02,Brian,Barber
barcelo01,Lorenzo,Barcelo
bardda01,Daniel,Bard
bardebr01,Brian,Barden
bardjo01,Josh,Bard
barfije01,Jesse,Barfield
barfijo01,John,Barfield
barfijo02,Josh,Barfield
bargecy01,Cy,Barger
barkbr01,Brian,Bark
barkean01,Andy,Barkett
barkegl01,Glen,Barker
barkeke01,Kevin,Barker
barkeri01,Richie,Barker
barkese01,Sean,Barker
barklbr01,Brian,Barkley
barmecl01,Clint,Barmes
barnebr01,Brian,Barnes
barnebr02,Brandon,Barnes
barneda01,Darwin,Barney
barnejo01,John,Barnes
barnela01,Larry,Barnes
barnesc01,Scott,Barnes
barnesk01,Skeeter,Barnes
barnwch01,Chris,Barnwell
baronda01,Daniel,Barone
barrema02,Marty,Barrett
barremi01,Michael,Barrett
barreto01,Tom,Barrett
barrima01,Manuel,Barrios
barrocu01,Cuke,Barrows
barroto01,Tony,Barron
barryja01,Jack,Barry
barryje01,Jeff,Barry
barryke01,Kevin,Barry
barteki01,Kimera,Bartee
barthji01,Jimmy,Barthmaier
bartlja01,Jason,Bartlett
bartobr01,Brian,Barton
bartocl01,Cliff,Bartosh
bartoda02,Daric,Barton
bartosh01,Shawn,Barton
barziph01,Philip,Barzilla
basakch01,Chris,Basak
baskeji01,Jim,Baskette
bassan01,Anthony,Bass
bassbr01,Brian,Bass
basske01,Kevin,Bass
bastaan01,Antonio,Bastardo
batchri01,Rich,Batchelor
batesaa01,Aaron,Bates
batesbi01,Billy,Bates
batesja01,Jason,Bates
batesjo02,Johnny,Bates
bathebi01,Bill,Bathe
batiski01,Kim,Batiste
batismi01,Miguel,Batista
batisto01,Tony,Batista
battlal01,Allen,Battle
battlho01,Howard,Battle
bauerri01,Rick,Bauer
bauertr01,Trevor,Bauer
baughju01,Justin,Baughman
baumapa01,Paddy,Baumann
bautida01,Danny,Bautista
bautide01,Denny,Bautista
bautijo01,Jose,Bautista
bautijo02,Jose,Bautista
baxtemi01,Mike,Baxter
bayja01,Jason,Bay
baylijo01,Jonah,Bayliss
bazaryo01,Yorman,Bazardo
beachbr01,Brandon,Beachy
beamotr01,Trey,Beamon
beamtj01,T.J.,Beam
beanbi01,Bill,Bean
beanco01,Colter,Bean
bearske01,Kevin,Bearse
beaslch01,Chris,Beasley
beatope01,Pedro,Beato
beattbl01,Blaine,Beatty
beavabl01,Blake,Beavan
bechlst01,Steve,Bechler
beckch01,Chad,Beck
beckebe01,Beals,Becker
beckech01,Charlie,Becker
beckejo02,Josh,Beckett
beckeri01,Rich,Becker
beckero01,Robbie,Beckett
beckfr02,Fred,Beck
beckhgo01,Gordon,Beckham
beckhti01,Tim,Beckham
beckro01,Rod,Beck
bedarer01,Erik,Bedard
bedrost01,Steve,Bedrosian
beebefr01,Fred,Beebe
beechma01,Matt,Beech
beimejo01,Joe,Beimel
beirnke01,Kevin,Beirne
belchke01,Kevin,Belcher
belchti01,Tim,Belcher
belfimi01,Mike,Belfiore
belinst01,Stan,Belinda
belisma01,Matt,Belisle
belisro01,Ronald,Belisario
belitto01,Todd,Belitz
belivje01,Jeff,Beliveau
belkti01,Tim,Belk
bellda01,David,Bell
bellde01,Derek,Bell
belleal01,Albert,Belle
beller01,Eric,Bell
bellge01,George,Bell
bellge02,George,Bell
bellhe01,Heath,Bell
bellhma01,Mark,Bellhorn
bellicl01,Clay,Bellinger
bellira01,Rafael,Belliard
belliro01,Ronnie,Belliard
bellja01,Jay,Bell
belljo01,Josh,Bell
bellju01,Juan,Bell
bellmi01,Mike,Bell
bellmi02,Mike,Bell
belloed01,Edwin,Bellorin
bellro01,Rob,Bell
belltr01,Trevor,Bell
belowdu01,Duane,Below
beltbr01,Brandon,Belt
beltrad01,Adrian,Beltre
beltrca01,Carlos,Beltran
beltren01,Engel,Beltre
beltres01,Esteban,Beltre
beltrfr01,Francis,Beltran
beltrom01,Omar,Beltre
beltrri01,Rigo,Beltrán
benarma01,Marvin,Benard
benavfr01,Freddie,Benavides
bendech01,Chief,Bender
benesal01,Alan,Benes
benesan01,Andy,Benes
benitar01,Armando,Benitez
benitya01,Yamil,Benitez
benjami01,Mike,Benjamin
benneer01,Erik,Bennett
bennega01,Gary,Bennett
benneje01,Jeff,Bennett
bennejo02,Joel,Bennett
bennesh01,Shayne,Bennett
benoijo01,Joaquin,Benoit
bensojo01,Joe,Benson
bensokr01,Kris,Benson
bentoru01,Rube,Benton
bentzch01,Chad,Bentz
benzito01,Todd,Benzinger
benzjo01,Joe,Benz
berblje01,Jeff,Berblinger
bereja01,Jason,Bere
berenju01,Juan,Berenguer
bergda01,Dave,Berg
bergebi01,Bill,Bergen
bergebr01,Brandon,Berger
bergebr02,Brad,Bergesen
